Uniprot_name,SA.KO3P1_S20_L007_R1_001.sam,SA.KO3P2_S13_L006_R1_001.sam,SA.KOSS1_S12_L006_R1_001.sam,SA.KOSS2_S23_L007_R1_001.sam,SA.WT3P1_S19_L007_R1_001.sam,SA.WT3P2_S22_L007_R1_001.sam,SA.WTSS1_S11_L006_R1_001.sam,SA.WTSS2_S21_L007_R1_001.sam
653635,328,149,114,282,301,314,148,325
100422834,0,0,0,0,0,0,0,0
645520,1,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0
729737,130,70,42,126,115,124,48,121
100507658,6,8,1,12,9,14,5,19
100132287,172,91,50,181,138,162,89,187
100288646,5,2,0,6,0,3,4,0
729759,2,0,0,0,0,0,0,0
100131754,6181,2469,2302,4865,3844,3562,1992,3748
81399,1,0,0,0,0,0,0,0
100287654,2,2,0,2,3,2,0,6
100133331,223,121,71,201,174,199,82,214
100288069,27,21,8,26,19,26,10,17
100287934,24,21,12,40,21,35,21,24
400728,1,1,0,3,0,0,0,3
79854,36,16,8,29,16,34,15,29
643837,75,31,22,46,39,54,21,65
100506327,24,5,7,18,19,11,7,12
284593,0,0,0,1,1,1,1,0
284600,221,126,74,240,75,96,49,94
100130417,111,49,47,105,54,44,41,64
148398,523,227,185,438,305,313,168,394
26155,1382,610,484,1151,685,852,396,873
339451,546,270,203,568,213,303,115,287
84069,20,12,6,24,4,11,4,6
84808,5,7,2,10,2,6,2,3
57801,857,542,326,937,911,1585,331,1155
9636,85,95,20,32,4827,7882,33,107
375790,885,566,327,1039,1155,1688,307,774
401934,1,0,1,1,1,0,0,1
54991,235,125,83,206,144,163,71,172
406984,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0
100506376,0,0,0,0,0,0,0,0
254173,0,0,0,1,0,1,0,0
8784,3,2,0,2,2,2,2,0
7293,0,0,1,0,1,2,0,0
51150,863,426,353,785,646,758,350,849
126792,375,186,161,329,423,441,208,507
388581,12,7,2,9,7,20,5,10
118424,392,176,146,341,246,311,133,339
6339,223,93,61,261,140,161,67,201
116983,676,353,229,687,385,497,205,540
126789,357,173,125,342,313,453,160,553
54973,796,422,294,736,478,586,248,597
80772,155,69,36,150,150,209,76,238
83756,6,2,3,8,3,2,4,6
1855,919,496,321,886,723,894,363,1015
54587,672,395,249,763,134,210,74,203
100506404,0,1,0,0,0,0,0,0
54998,937,454,321,774,518,550,262,602
81669,1105,534,423,1016,675,834,362,670
148413,325,185,146,330,323,352,161,418
55052,465,209,177,425,382,435,203,382
441869,4,2,3,2,7,3,1,4
643965,1,1,1,0,0,0,1,1
100288271,6,7,4,9,5,13,8,12
64856,196,113,89,219,100,121,59,103
219293,98,48,37,82,51,57,28,83
83858,636,251,231,487,430,441,221,459
55210,805,343,282,658,594,647,287,684
339453,0,2,3,5,4,1,1,0
29101,778,332,276,595,621,734,313,702
643988,276,139,85,236,197,209,100,227
142678,346,155,110,299,353,444,155,410
8510,23,9,2,22,22,22,7,22
984,382,165,148,345,244,328,141,299
728661,729,406,292,785,555,678,290,739
8511,19,10,5,15,10,20,8,19
728642,330,184,140,299,262,272,137,277
100506482,269,161,108,300,201,264,100,267
9906,93,66,35,102,47,71,38,60
65220,745,405,299,793,687,966,378,951
2782,2775,1588,1054,2998,2078,3088,1126,2875
163688,15,5,2,10,9,8,2,17
339456,35,18,10,35,22,27,9,45
85452,9,3,6,8,2,7,3,1
2563,58,59,15,86,25,33,11,33
5590,175,88,50,166,109,145,56,185
100506504,33,20,9,22,15,24,11,34
199990,221,106,73,179,161,171,88,227
100128003,122,51,46,106,71,90,43,79
6497,1071,545,404,1003,452,650,283,574
79906,58,38,24,61,28,54,28,60
100129534,60,31,24,61,31,34,26,25
11079,920,405,339,801,679,757,316,721
5192,183,73,59,143,169,181,67,171
9651,16,6,6,19,5,5,8,4
55229,338,170,117,322,242,320,103,382
388585,164,78,65,194,26,54,14,79
115110,2,1,0,2,0,0,1,0
100133445,0,0,0,0,0,0,0,0
8764,6,3,2,4,10,9,4,5
100506589,1,2,1,2,1,2,1,0
127281,185,70,69,158,140,134,69,177
79258,0,0,1,2,3,1,0,1
100287898,3,0,2,4,0,2,1,0
140625,0,0,0,0,0,0,0,0
440556,42,15,14,34,27,40,16,28
63976,282,148,98,284,182,279,115,227
100422968,0,0,0,0,0,0,0,0
27237,99,36,36,90,93,97,38,108
1953,100,73,27,134,56,77,21,90
693135,0,0,0,0,0,0,0,0
127262,161,69,57,148,113,106,43,125
49856,379,167,153,371,315,368,152,383
7161,84,62,37,103,74,103,38,94
100506635,0,0,0,0,0,0,0,0
57212,684,361,275,708,395,456,234,465
148870,5,2,2,10,1,3,1,2
388588,10,12,5,26,17,24,2,18
57470,682,350,271,641,436,523,260,537
9731,360,240,175,403,305,428,165,351
1677,195,96,72,164,108,115,72,113
339448,214,109,81,219,152,198,90,195
100133612,10,2,1,9,5,3,1,6
728716,0,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0,0
55966,0,0,0,0,0,0,0,0
261734,235,140,76,275,107,163,73,181
8514,117,56,28,99,55,88,37,90
26038,79,36,26,73,25,54,29,54
6146,2922,1917,1086,3544,1928,2464,938,2032
388591,192,86,53,151,59,73,32,77
23463,1632,936,653,1593,1400,1697,642,1389
148645,21,12,5,24,25,29,15,19
390992,0,0,0,1,0,0,0,0
387509,276,179,84,337,117,203,55,187
11332,599,282,228,565,437,534,211,587
100130071,0,0,1,2,0,1,0,2
54626,5,16,5,19,7,7,6,7
83715,4,4,0,6,4,5,1,4
100422975,0,0,0,0,0,0,0,0
8718,55,28,15,53,30,28,13,45
57449,184,110,70,226,112,165,66,147
79707,526,287,185,519,233,330,148,269
80835,8,1,3,5,4,2,1,4
3104,324,126,132,272,169,190,87,215
9903,480,221,207,426,297,334,168,325
148479,441,271,177,466,267,409,139,396
90326,48,20,19,32,43,61,11,46
55735,489,217,179,405,236,291,151,285
100505887,0,0,0,0,0,0,0,0
23261,167,124,68,207,137,172,76,138
100505935,184,79,78,144,143,136,37,146
100505910,0,0,0,0,0,0,0,0
9341,752,464,259,814,560,661,275,538
8863,83,60,48,97,24,21,30,37
10911,0,0,0,0,1,2,0,1
3604,3,2,0,1,15,29,21,31
11315,1408,646,568,1195,1421,1459,683,1531
54206,199,110,93,192,165,280,94,286
50651,2,1,1,0,0,2,1,2
473,816,460,314,806,419,521,233,449
100505990,0,1,0,0,0,0,0,0
2023,14328,7529,5654,14175,10045,11878,5208,12840
100505975,8,4,4,6,11,8,5,10
765,0,0,0,0,0,0,0,0
155184,0,0,0,0,0,0,0,0
6518,0,1,1,1,0,0,0,0
100302218,0,0,0,1,0,0,0,0
80045,22,13,10,18,12,13,6,11
407040,0,0,0,0,0,0,0,0
727721,0,1,0,0,2,0,0,1
9563,447,289,177,593,422,678,263,693
80176,66,36,41,64,129,147,29,52
100506022,2,3,3,1,1,1,0,1
84275,105,51,46,114,95,111,46,82
199953,386,217,156,343,282,405,165,380
5293,111,88,37,172,49,104,36,119
644997,0,0,0,0,0,0,0,0
22883,1470,751,561,1465,844,1191,495,1202
645010,0,0,0,0,0,0,0,0
56998,183,109,76,218,156,234,105,256
84328,209,113,79,201,153,166,83,135
64802,79,48,48,107,96,103,44,80
116362,1,0,0,1,1,0,0,0
10277,580,372,259,694,243,324,152,316
23095,924,658,336,1162,533,925,325,633
100287506,5,1,0,1,1,0,0,0
5226,1584,734,606,1257,881,881,462,859
378708,149,74,52,122,110,93,60,95
1325,6,5,7,4,10,0,3,5
1676,884,605,328,1092,789,1303,460,1200
5195,161,78,68,157,162,230,93,226
54897,71,49,27,73,35,72,24,67
148345,2,1,1,1,0,1,0,3
23435,1621,1083,721,1897,1392,1808,754,1410
10747,52,17,16,37,47,33,21,23
6723,619,258,201,469,636,730,300,913
5394,875,367,370,709,733,781,360,816
2475,1192,616,505,1092,782,941,499,859
10218,0,0,1,2,0,0,0,0
29914,259,118,113,235,204,288,129,305
57540,23,9,9,10,7,10,3,9
26232,5,8,3,12,25,47,15,55
93611,234,119,68,265,154,246,73,228
26270,6,5,1,8,6,9,5,10
10459,312,148,115,286,375,400,173,465
374946,0,1,1,0,0,1,0,0
100506086,1,0,0,0,0,2,0,0
57085,259,122,115,185,303,363,124,275
100506273,1,1,1,4,1,1,2,2
284498,3,3,1,5,3,3,1,2
100506310,1,0,0,1,0,0,0,1
100506116,0,0,0,0,0,0,0,0
4524,193,110,80,182,121,168,68,130
1185,145,93,61,145,96,105,62,102
4878,7,1,1,1,2,0,0,3
4879,0,0,0,0,1,0,1,0
26829,0,0,0,0,0,0,0,1
90231,295,161,111,247,222,224,111,250
5351,625,330,205,671,337,469,192,504
9927,1018,471,421,902,852,1021,479,1054
60672,243,90,80,177,208,288,91,243
943,0,1,1,0,1,1,0,1
7133,1,0,0,0,1,3,0,2
55187,412,253,185,434,264,433,218,308
677885,0,0,1,0,1,1,0,1
9249,91,45,35,99,115,146,63,194
343066,0,0,0,0,0,0,0,0
126767,0,0,0,0,0,0,0,0
93190,0,0,0,0,0,0,0,0
390999,0,0,0,0,1,0,0,0
65121,0,0,0,0,0,0,0,0
440560,0,0,0,0,0,0,0,0
343069,194,114,69,199,251,272,136,270
65122,0,0,0,0,0,0,0,0
400735,0,0,0,0,0,0,0,0
343071,0,0,0,0,0,0,0,0
441871,0,0,0,0,0,0,0,0
440561,0,0,0,0,0,0,0,0
653606,0,0,0,0,0,0,0,0
729368,0,0,0,0,0,0,0,0
441873,0,0,0,0,0,0,0,0
440563,122,56,41,111,106,161,55,140
645359,0,0,0,0,0,0,0,0
401940,0,0,0,0,0,0,0,0
343068,0,0,0,0,0,0,0,0
391002,0,0,0,0,0,0,0,0
343070,1,0,0,0,0,0,0,0
400736,0,0,0,0,0,0,0,1
391003,0,0,0,0,0,0,0,0
654348,0,0,0,0,0,0,0,0
391001,0,0,0,0,0,0,0,0
729516,0,0,0,0,0,0,0,1
653619,0,0,0,0,0,0,0,0
729528,0,0,0,0,0,0,0,0
645414,0,0,0,0,0,0,0,0
391004,0,0,0,0,0,0,0,0
645425,0,0,0,0,0,0,0,0
126755,0,0,0,1,0,0,0,1
10630,143,126,75,197,153,256,85,249
7799,282,140,113,241,229,303,150,250
23254,131,64,51,113,80,138,41,118
200197,5,2,2,2,2,4,0,1
55092,51,29,14,47,46,83,21,49
114827,7,7,2,9,44,44,30,31
79180,385,212,124,348,229,262,128,327
11330,1,0,0,0,0,0,0,0
63036,0,0,0,0,0,0,0,0
51032,0,0,0,0,1,0,0,0
842,72,37,34,73,90,81,37,79
23341,157,105,77,182,92,142,72,93
100507192,0,1,0,0,1,2,0,0
79814,0,0,0,0,13,9,13,5
645317,800,349,281,667,652,795,390,804
84301,60,36,21,41,20,31,20,14
6248,41,23,19,52,31,38,19,14
23207,423,233,158,392,444,610,244,627
284723,7,6,3,9,0,2,3,3
388595,0,0,0,0,0,0,0,0
54751,156,80,68,163,96,194,56,210
440567,1157,649,433,1121,829,976,444,952
729614,180,114,76,186,138,192,75,201
23013,4069,2124,1728,4047,1874,2654,1162,2160
7709,148,71,67,138,128,212,62,223
149563,0,0,0,0,0,0,0,0
27129,0,0,0,0,5,0,0,1
1187,4,4,1,3,6,9,3,7
1188,7,6,3,20,19,22,11,29
348487,17,6,3,20,11,30,10,28
1969,74,57,46,87,141,289,77,282
100506484,0,0,0,1,0,2,0,0
128272,19,9,6,33,27,17,5,12
79363,35,16,8,30,43,59,17,48
54455,193,113,68,196,204,299,152,328
26099,999,497,397,1005,961,1642,513,1522
374955,0,0,0,1,1,1,0,2
55707,327,152,161,257,316,350,205,364
114819,106,49,40,119,46,56,31,40
26871,11,9,0,6,6,7,3,5
100506533,0,1,0,0,1,0,1,0
100133301,0,0,0,0,0,0,0,0
55672,295,146,131,304,280,324,186,264
84809,281,147,105,293,229,202,85,233
11209,35,24,11,26,55,63,26,53
26869,12,9,3,6,5,6,4,8
729574,1,0,0,0,0,0,0,0
284729,1,2,0,0,3,3,2,2
729587,0,0,1,0,0,2,0,0
6060,13,4,2,11,4,2,4,3
11223,26,15,13,23,20,39,10,38
100506687,1,1,2,1,1,4,3,5
26870,9,6,4,5,7,7,6,7
9696,278,137,114,288,147,170,90,149
4237,101,56,41,114,37,62,15,48
23400,274,129,111,277,305,313,143,379
6390,494,261,208,440,513,513,266,523
11240,9,8,7,32,12,20,7,24
400743,0,0,0,0,0,0,0,0
29943,5,1,0,0,0,0,0,4
51702,4,4,1,3,2,3,3,2
23569,0,0,0,0,1,0,0,0
353238,0,0,0,0,0,0,0,0
55920,2175,1193,878,2090,1730,2382,982,2164
55160,55,39,23,80,82,124,36,131
81569,3,2,0,0,3,3,0,2
84966,4,6,3,7,6,11,4,17
127707,0,0,1,1,1,3,1,0
5081,6,4,0,10,12,9,3,16
80834,0,0,0,0,0,0,0,0
8659,137,54,53,114,122,102,65,119
100302276,0,0,0,0,0,0,0,0
126917,113,69,40,82,115,182,90,180
23352,2215,1226,942,2345,1380,2192,856,1955
23065,609,346,255,550,446,550,290,560
51154,441,194,167,380,473,498,257,585
246181,16,10,3,7,17,15,13,18
22977,8,8,4,9,6,10,3,11
100506730,23,13,12,27,32,35,15,38
8574,441,242,169,416,449,497,251,513
54896,95,50,31,87,149,139,60,161
832,945,444,364,807,707,784,373,911
644075,8,3,4,12,5,9,3,2
644083,0,0,0,1,0,0,0,0
440574,259,122,105,228,306,336,132,280
4681,251,157,84,233,249,390,113,416
3362,31,18,19,36,24,21,7,31
255104,154,76,45,123,166,132,69,131
54546,0,0,0,0,1,0,0,0
23252,475,333,184,629,194,280,132,218
30814,0,0,0,0,0,0,0,0
5320,1,0,0,0,0,0,0,0
5322,0,0,0,0,0,0,0,0
26279,0,0,0,0,0,0,0,0
64600,0,0,0,0,0,0,0,0
391013,0,0,0,0,0,0,0,0
127733,0,0,0,0,0,0,0,0
127731,4,2,0,3,1,3,3,2
339505,0,0,0,0,0,0,0,0
55450,81,35,31,103,80,151,37,120
79594,286,126,124,224,263,284,136,308
163933,31,13,12,33,20,27,11,42
978,21,11,5,27,12,12,6,13
65018,486,239,210,424,600,666,307,754
1650,1588,786,583,1449,1422,1673,780,1790
57576,194,99,61,201,69,102,31,101
400745,110,51,44,99,53,70,26,73
50809,1036,699,435,1185,671,1008,456,794
8672,1226,653,545,1336,913,1170,560,1010
100302155,0,0,0,0,0,0,0,0
1889,418,221,164,404,438,675,172,426
100506824,0,0,0,0,0,0,0,0
100506801,3,3,2,6,1,4,2,10
84224,111,48,43,112,93,120,55,120
249,73,72,29,91,42,48,23,51
5909,119,74,39,124,77,85,31,104
84196,493,281,189,515,446,524,236,439
401944,1,0,0,0,0,2,0,1
3339,226,160,78,359,74,134,58,109
23436,0,0,0,0,0,0,0,0
10136,0,0,0,1,0,0,0,0
29092,78,37,26,59,128,136,62,146
998,923,498,377,876,814,965,368,713
54361,2,1,0,2,2,5,4,5
9923,697,308,274,576,422,588,243,490
2046,48,27,16,55,32,40,14,38
712,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0
2048,112,65,42,126,99,170,67,189
100422914,0,0,0,0,0,0,0,0
646262,0,0,0,0,0,0,0,0
729059,2,2,1,4,3,3,1,4
23028,1286,692,520,1261,879,1056,467,1152
100422866,0,0,0,0,0,0,0,0
7798,533,322,237,479,348,466,199,379
3352,11,7,6,16,9,11,4,16
10236,1863,1096,794,1994,1515,1870,904,1455
80818,208,98,106,218,159,181,71,138
148898,60,22,15,60,41,44,19,44
6920,6,3,2,3,6,7,5,6
55616,130,67,54,162,97,133,57,145
1870,261,161,107,286,458,740,250,636
3399,629,299,292,551,225,233,117,283
259283,1,0,0,1,1,1,0,1
729856,0,0,0,0,0,0,0,0
6135,6561,3663,2600,7172,5707,6690,2936,6805
6924,621,317,221,584,545,630,290,651
100506963,4,4,2,5,7,13,7,10
57095,279,168,120,318,349,407,189,337
11313,273,151,128,267,318,316,128,307
2582,109,37,41,91,110,114,48,132
3155,146,76,43,189,288,430,156,424
2517,188,105,64,179,150,174,89,179
1269,0,0,0,0,1,0,0,0
55629,188,192,82,290,250,378,107,205
10772,480,407,209,628,347,484,190,293
127294,0,1,0,2,3,2,0,0
58985,0,0,0,0,3,0,1,2
163702,69,40,30,67,101,139,56,133
284632,1,0,0,1,2,0,0,0
57822,8,6,2,5,8,8,9,10
90529,124,81,47,128,166,265,91,237
57185,300,170,114,300,244,338,152,301
11123,59,33,20,33,17,22,10,12
100506985,42,35,13,47,22,41,12,28
400746,0,0,0,0,0,0,0,0
10250,688,398,268,708,480,667,282,569
25932,1035,992,369,1393,915,1303,574,677
864,124,85,58,113,74,118,35,127
25949,381,216,155,396,249,258,135,210
57035,338,157,125,352,182,239,80,155
6007,3,3,0,1,1,3,2,3
23585,729,387,277,692,623,910,298,667
6006,6,3,3,10,20,24,4,20
55219,283,174,90,305,234,300,146,306
26119,235,127,93,250,151,210,87,256
57134,42,37,10,56,24,49,26,50
100507013,0,0,0,1,0,1,1,1
57190,1151,697,434,1225,711,1117,403,1091
56181,373,190,140,352,305,343,187,375
646471,37,28,19,44,34,36,24,31
79000,225,114,86,216,219,268,112,266
164091,125,79,51,113,69,83,44,88
3925,4287,2325,1667,4335,3210,3668,1575,3337
5051,89,55,26,85,91,129,58,106
2134,21,8,7,30,13,6,3,5
7780,1,0,0,1,0,0,0,1
84676,0,0,0,0,0,1,0,0
149420,130,90,65,145,187,291,99,137
79927,3,7,1,5,2,1,1,6
100128346,5,3,1,9,0,4,1,0
51042,123,68,55,110,130,119,55,130
10256,16,7,6,16,7,12,4,8
378807,1,0,0,0,0,0,1,0
64793,570,302,241,459,364,419,225,454
83442,127,42,52,126,118,102,57,127
91544,215,82,53,178,192,168,74,175
1043,0,0,1,1,0,0,1,0
55057,4,5,6,4,15,16,3,12
257101,0,0,0,0,0,0,0,0
79727,1,2,0,0,0,1,0,0
79947,245,89,92,164,151,182,74,180
3151,1382,598,467,1179,1361,1623,682,1436
6195,236,120,83,240,187,255,73,298
100302190,0,0,0,0,0,0,0,0
8289,1318,695,471,1372,601,910,425,822
55650,87,49,42,97,97,127,56,109
84243,227,92,83,193,190,275,109,308
2810,6,4,3,6,1,1,1,6
54707,188,85,57,120,147,161,92,139
63906,123,44,53,89,77,69,44,62
8431,0,0,0,1,1,0,0,0
10726,858,386,305,739,492,638,259,666
126695,1,0,0,0,0,1,0,1
646567,2,0,0,0,3,2,0,1
388610,53,38,27,71,41,56,25,54
115572,5,4,4,6,9,9,2,4
6548,173,85,52,121,105,128,59,164
23038,199,110,82,200,364,513,183,558
84065,184,84,64,153,167,196,88,206
644961,396,247,155,435,184,239,105,271
84958,80,47,32,80,103,121,49,148
9064,164,73,37,168,110,119,56,143
8547,3,2,1,2,1,1,1,0
388611,1,1,0,4,0,1,0,2
2827,26,12,9,12,22,29,12,23
10163,1120,634,475,1185,628,1146,416,1061
27245,231,134,92,222,67,102,30,116
2268,0,0,0,0,1,1,0,0
2537,120,150,34,86,6003,8094,29,68
199870,93,56,40,107,131,178,66,146
23673,310,212,97,340,473,685,274,478
5511,708,357,293,735,1014,1198,510,928
677774,1,0,0,1,0,0,0,1
9473,62,32,18,52,40,54,16,51
6118,970,471,380,870,1296,1283,621,1167
27293,74,26,30,51,140,137,56,134
55113,149,65,61,115,144,174,69,170
2140,157,101,66,145,130,152,85,150
653566,347,192,162,299,597,659,281,592
5724,4,3,4,8,10,4,3,10
22826,1320,570,535,1059,1834,1744,851,1873
93974,1121,517,452,1011,1440,1649,739,1743
83667,974,400,350,709,2711,2767,1541,3057
54797,136,86,71,146,156,212,106,204
65979,556,297,283,610,640,891,298,639
8420,471,264,181,448,382,447,220,399
1104,1364,638,559,1228,1587,1929,845,1992
6080,5,3,0,5,6,6,4,14
26768,5,0,2,2,6,5,3,5
54952,162,92,51,177,312,313,154,304
85028,110,49,42,95,190,208,97,214
692212,5,0,2,5,5,5,4,4
677838,16,4,9,8,21,21,11,32
677825,6,4,0,3,1,4,7,6
692073,2,0,0,1,4,3,4,3
115273,0,1,0,2,0,0,0,1
6883,191,97,68,187,249,283,96,204
26824,2,1,0,3,4,1,0,0
10691,65,41,27,82,59,77,41,77
51441,892,469,317,831,1083,1501,610,1291
4985,15,6,5,16,5,2,1,3
2035,1073,624,456,1092,1392,2060,775,1646
399474,8,5,5,2,5,10,2,9
6429,942,528,344,913,1254,1717,659,1604
51102,295,152,117,267,404,504,205,525
10076,806,507,308,906,620,1011,358,971
100288450,3,1,1,2,2,2,2,3
4146,4,1,3,6,11,13,5,6
100129196,9,4,3,11,20,21,11,21
7805,0,0,0,0,2,2,5,6
9672,581,351,223,620,655,885,389,925
9698,1390,793,575,1483,1282,1677,846,1446
692234,2,2,1,4,4,1,2,3
692235,2,3,2,2,1,5,1,2
692200,0,0,1,0,1,0,0,0
28997,2,1,0,6,1,1,0,0
79570,39,27,20,48,41,69,9,63
9410,485,194,162,387,637,665,338,684
51538,210,99,104,177,367,345,180,374
2170,18,9,2,14,10,22,9,11
347735,122,77,50,153,220,298,99,301
149086,0,0,0,0,0,0,0,0
284551,0,0,0,0,0,0,0,0
64129,1,1,0,1,2,0,0,0
3061,3,1,0,2,3,3,0,4
553115,1002,466,381,849,1492,1640,705,1780
1307,4,2,1,5,10,5,4,6
576,204,143,77,311,298,554,149,520
100423028,0,0,0,0,0,0,0,0
90853,16,11,7,14,49,38,15,48
8073,1383,853,586,1553,1509,1939,839,1647
100507229,1,1,2,4,5,3,1,4
10657,2155,1492,877,2519,1886,2635,1010,2066
55116,230,126,86,220,293,335,156,395
23633,900,523,377,929,833,1265,465,1087
200081,1460,615,505,1081,1599,1828,764,1669
79140,180,94,68,173,162,212,94,197
55721,152,70,66,156,201,241,98,252
149069,20,8,9,19,13,29,16,27
100507457,23,14,9,28,42,44,18,46
56063,51,21,22,35,91,98,45,75
8668,1657,819,609,1497,1638,2125,882,2387
339483,2,2,2,5,2,5,4,4
84734,1,1,0,2,5,3,4,4
3932,1,0,0,0,3,1,1,4
3065,1892,895,749,1782,1797,1973,928,2001
65108,1972,978,824,1728,1486,1680,743,1945
100128071,40,17,17,27,50,61,26,78
81629,127,59,40,106,115,161,61,176
55108,856,460,347,792,963,1214,530,1100
728116,44,37,18,54,41,78,26,52
653121,193,114,67,190,154,256,88,170
339487,139,58,38,103,180,209,79,164
5928,1234,615,498,1248,1480,1935,858,1644
81493,5,11,4,9,7,18,6,12
57648,484,308,177,615,450,724,255,706
8565,3150,1424,1217,3015,5305,7073,2784,7495
64766,406,243,163,453,603,846,300,628
252995,37,21,16,39,58,38,16,35
3208,3,3,1,3,7,9,5,12
113452,118,65,51,99,172,258,70,254
127544,157,89,59,137,292,357,96,284
100505584,3,1,0,2,3,3,2,2
204,1841,957,706,1694,2539,2639,1159,2434
113451,53,31,20,49,46,61,18,59
55223,82,40,33,61,74,62,44,85
149076,309,171,129,307,340,408,166,438
1912,361,185,157,340,557,851,285,864
7579,102,58,39,124,111,157,75,117
114784,5,0,0,0,1,2,0,1
127540,0,0,0,0,0,0,0,0
84970,0,0,0,0,0,0,0,0
693137,0,0,0,0,0,0,0,0
2709,1,0,0,0,2,6,1,0
127534,0,1,0,0,1,0,0,1
2707,0,0,0,1,0,0,0,0
2701,0,0,0,1,2,0,0,0
113444,435,207,161,345,300,316,165,292
58512,47,21,15,35,44,68,17,58
100506144,115,54,32,103,126,170,66,114
9204,153,108,68,203,96,127,60,80
79830,162,196,41,321,149,328,94,119
100506168,963,635,338,1196,629,863,367,595
6421,4837,2511,1918,4022,1882,1670,1157,1586
9202,972,571,400,1030,826,888,469,686
79932,829,450,326,829,631,948,339,840
23154,1044,437,404,903,598,655,301,721
339488,7,2,3,11,6,8,4,6
5690,1288,564,531,1033,929,983,474,953
127703,140,70,55,132,157,172,64,129
63967,795,415,310,748,488,711,263,527
192670,154,117,57,198,112,236,68,140
26523,773,425,315,743,286,442,212,345
192669,89,51,32,72,42,76,36,51
27285,10,6,2,6,14,11,4,5
54936,286,143,103,249,427,545,133,326
1296,5,0,0,2,6,7,3,7
27095,524,248,201,529,465,479,213,482
55700,622,354,269,654,635,1045,349,1101
9967,2533,1209,1068,2200,1823,1999,985,1704
79729,62,46,28,100,29,48,26,51
55194,58,36,26,63,58,71,23,55
83931,800,332,283,597,735,944,359,1026
100506594,0,0,0,0,0,0,2,0
84967,243,113,98,186,316,335,162,373
127700,67,33,21,52,53,53,30,69
64960,490,214,174,439,369,387,203,386
1441,1,0,1,0,0,0,2,2
2899,65,16,21,33,10,8,5,12
100422898,0,0,0,0,0,0,0,0
728431,5,0,2,4,3,8,4,9
80149,52,25,21,46,27,25,16,31
64769,437,251,175,421,340,427,202,364
79753,207,89,60,170,131,171,97,141
7802,2,0,2,3,10,8,4,3
29889,1073,539,411,991,931,949,478,958
284654,416,149,199,293,285,207,142,241
54955,340,193,165,325,352,455,195,396
55143,641,332,230,598,417,442,219,476
284656,15,5,4,12,65,83,39,103
149175,500,281,215,440,363,451,196,444
79693,309,156,125,263,334,462,199,427
127687,405,140,151,306,351,400,165,398
4520,229,132,106,222,115,157,87,125
3633,401,194,171,338,260,310,146,308
10946,1350,616,513,1158,1010,1087,461,1120
2275,101,59,33,117,79,149,42,114
51118,489,243,239,455,369,475,184,402
5453,25,14,6,36,12,24,11,15
64121,102,65,50,97,118,186,76,124
26292,369,172,146,333,222,239,112,185
100506806,0,0,0,0,0,0,0,0
81025,13,3,1,8,2,6,1,1
54933,1,1,2,0,1,1,0,0
79647,887,570,350,1008,650,856,288,641
4725,1074,479,419,904,757,781,380,722
23499,1581,954,707,1741,898,1160,539,817
100292290,16,14,5,16,11,15,11,12
643314,253,144,101,292,50,59,51,63
353500,101,39,37,100,82,96,36,92
728448,75,37,27,96,49,90,40,75
8761,1332,667,504,1267,577,689,335,727
100506950,1,2,0,6,1,4,0,0
677834,4,0,2,1,2,4,1,5
26508,83,42,31,88,37,74,21,59
84618,7,9,6,16,5,9,2,5
51440,137,100,52,173,67,92,31,96
10450,614,281,227,543,546,651,266,712
656,66,54,32,84,54,83,36,80
64064,7,4,3,9,3,8,2,7
100287437,15,7,2,18,9,18,2,6
54802,235,116,73,190,202,287,101,212
4610,156,104,60,168,58,100,41,99
84879,61,20,17,32,54,76,19,48
10487,1461,715,600,1419,955,1182,496,1131
5538,1769,779,694,1430,1202,1190,574,1124
6018,485,323,183,563,376,518,185,342
127391,0,0,0,0,0,0,0,0
10269,634,424,253,755,465,511,215,272
1298,21,18,4,22,21,22,15,35
100286988,16,14,12,21,17,28,11,20
64744,487,246,195,500,326,547,211,542
65243,38,17,8,38,12,25,20,18
339559,114,50,37,95,87,90,38,84
64789,95,56,34,91,84,92,45,77
127396,37,27,22,48,27,36,16,33
9783,497,317,220,548,322,562,236,553
100130557,90,50,39,146,47,75,47,52
4802,435,204,174,394,484,471,234,497
407034,0,0,0,0,0,0,0,0
407031,0,0,0,0,0,0,0,0
9132,22,13,9,30,38,59,20,54
163732,22,13,7,20,12,13,8,26
1503,1266,592,522,1118,932,1149,522,1147
100507178,57,25,22,50,39,31,16,27
200172,23,7,8,16,7,8,5,8
22955,595,293,192,553,507,724,270,734
100132074,17,8,8,10,16,16,7,20
1907,0,1,0,0,0,0,1,0
59269,18,22,13,26,25,51,18,34
100507198,17,16,11,16,16,19,12,20
2981,0,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,0,0
22887,624,400,250,702,438,693,250,501
284716,76,58,33,96,81,155,63,136
84217,1,3,0,1,2,5,4,2
79717,281,161,106,272,209,267,121,204
100507214,6,1,2,6,3,3,1,7
728621,7,4,3,9,4,6,5,2
10465,319,161,127,250,270,238,123,242
100507252,7,3,5,6,3,4,2,4
